Year,gdppc
1926,856627
1927,828069
1928,1022400
1929,1036222
1930,890724
1931,713780
1932,540012
1933,663069
1934,783449
1935,829794
1936,845233
1937,939743
1938,940481
1939,949980
1940,966683
1941,952064
1942,965599
1943,975197
1944,975571
1945,1040435
1946,1109151
1947,971768
1948,1112532
1949,1068790
1950,1099342
1951,1122009
1952,1168673
1953,1230370
1954,1166018
1955,1185501
1956,1174854
1957,1263399
1958,1300633
1959,1198098
1960,1267640
1961,1294285
1962,1321801
1963,1371215
1964,1368422
1965,1347468
1966,1466420
1967,1483028
1968,1505302
1969,1530600
1970,1531941
1971,1640212
1972,1592719
1973,1478899
1974,1468717
1975,1258377
1976,1283886
1977,1390431
1978,1483621
1979,1584307
1980,1686886
1981,1762406
1982,1498449
1983,1433419
1984,1494144
1985,1500187
1986,1556449
1987,1628706
1988,1718763
1989,1868968
1990,1907796
1991,2021803
1992,2227416
1993,2340968
1994,2431983
1995,2641802
1996,2797546
1997,2941763
1998,2996959
1999,2935824
2000,3026747
2001,3093155
2002,3125278
2003,3213448
2004,3370754
2005,3520112
2006,3644627
2007,3774301
2008,3873925
2009,3771557
2010,3929219
2011,4184618.235
2012,4435695.3291
2013,4657480.095555
2014,4727342.29698832
2015,4798252.43144315
